date,projected_mortality,province_state,county
2020-05-05,10.7030734249415,California,Marin
2020-05-06,10.703073443312157,California,Marin
2020-05-07,10.70307345287074,California,Marin
2020-05-08,10.70307345784424,California,Marin
2020-05-09,10.703073460432037,California,Marin
2020-05-10,10.703073461778523,California,Marin
2020-05-11,10.703073462479118,California,Marin
2020-05-12,10.703073462843655,California,Marin
2020-05-13,10.70307346303332,California,Marin
2020-05-14,10.703073463132014,California,Marin
2020-05-15,10.703073463183365,California,Marin
2020-05-16,10.703073463210082,California,Marin
2020-05-03,45.683040381624714,California,Orange
2020-05-04,46.41417122073237,California,Orange
2020-05-05,47.087753188205525,California,Orange
2020-05-06,47.7064685182946,California,Orange
2020-05-07,48.273231805715724,California,Orange
2020-05-08,48.79110414578416,California,Orange
2020-05-09,49.26321914291655,California,Orange
2020-05-10,49.6927208133352,California,Orange
2020-05-11,50.08271288542596,California,Orange
2020-05-12,50.43621864252701,California,Orange
2020-05-13,50.75615023403894,California,Orange
2020-05-14,51.045286274537354,California,Orange
2020-05-15,51.3062565302137,California,Orange
2020-05-16,51.541532533122606,California,Orange
2020-05-03,39.26175372132829,California,Sacramento
2020-05-04,39.305180014965785,California,Sacramento
2020-05-05,39.33996701077716,California,Sacramento
2020-05-06,39.36782407201629,California,Sacramento
2020-05-07,39.39012571837915,California,Sacramento
2020-05-08,39.40797600043943,California,Sacramento
2020-05-09,39.422260940666675,California,Sacramento
2020-05-10,39.433691089893486,California,Sacramento
2020-05-11,39.442835958419764,California,Sacramento
2020-05-12,39.450151806906305,California,Sacramento
2020-05-13,39.45600403541495,California,Sacramento
2020-05-14,39.46068519362427,California,Sacramento
2020-05-15,39.46442945141657,California,Sacramento
2020-05-16,39.4674242145036,California,Sacramento
2020-05-03,86.96191281804434,California,San Bernardino
2020-05-04,87.10544871549826,California,San Bernardino
2020-05-05,87.20550638011136,California,San Bernardino
2020-05-06,87.27518891171152,California,San Bernardino
2020-05-07,87.32368509194643,California,San Bernardino
2020-05-08,87.3574207615703,California,San Bernardino
2020-05-09,87.38088090916865,California,San Bernardino
2020-05-10,87.39719168079893,California,San Bernardino
2020-05-11,87.40853004462235,California,San Bernardino
2020-05-12,87.41641100380446,California,San Bernardino
2020-05-13,87.42188841021681,California,San Bernardino
2020-05-14,87.42569510498626,California,San Bernardino
2020-05-15,87.42834058996775,California,San Bernardino
2020-05-16,87.43017903874504,California,San Bernardino
2020-05-03,13.0,California,Ventura
2020-05-04,13.0,California,Ventura
2020-05-05,13.0,California,Ventura
2020-05-06,13.0,California,Ventura
2020-05-07,13.0,California,Ventura
2020-05-08,13.0,California,Ventura
2020-05-09,13.0,California,Ventura
2020-05-10,13.0,California,Ventura
2020-05-11,13.0,California,Ventura
2020-05-12,13.0,California,Ventura
2020-05-13,13.0,California,Ventura
2020-05-14,13.0,California,Ventura
2020-05-15,13.0,California,Ventura
2020-05-16,13.0,California,Ventura
2020-05-03,14.469539604893681,California,Yolo
2020-05-04,14.507068209451802,California,Yolo
2020-05-05,14.534089473479963,California,Yolo
2020-05-06,14.553532037632369,California,Yolo
2020-05-07,14.567514667970583,California,Yolo
2020-05-08,14.57756710462001,California,Yolo
2020-05-09,14.584792205384515,California,Yolo
2020-05-10,14.589984238761666,California,Yolo
2020-05-11,14.593714800864507,California,Yolo
2020-05-12,14.596395019869522,California,Yolo
2020-05-13,14.598320490881171,California,Yolo
2020-05-14,14.599703683405872,California,Yolo
2020-05-15,14.600697287008243,California,Yolo
2020-05-16,14.601411015143645,California,Yolo
2020-05-03,21.310831439477255,Colorado,Douglas
2020-05-04,21.410377514614375,Colorado,Douglas
2020-05-05,21.495529840428894,Colorado,Douglas
2020-05-06,21.56830972776936,Colorado,Douglas
2020-05-07,21.630471109808575,Colorado,Douglas
2020-05-08,21.683531315974676,Colorado,Douglas
2020-05-09,21.728799638228608,Colorado,Douglas
2020-05-10,21.767403412784873,Colorado,Douglas
2020-05-11,21.80031152955292,Colorado,Douglas
2020-05-12,21.828355408917965,Colorado,Douglas
2020-05-13,21.85224756687122,Colorado,Douglas
2020-05-14,21.872597937549898,Colorado,Douglas
2020-05-15,21.88992814670754,Colorado,Douglas
2020-05-16,21.904683937873394,Colorado,Douglas
2020-05-03,9.0,Colorado,Montrose
2020-05-04,9.0,Colorado,Montrose
2020-05-05,9.0,Colorado,Montrose
2020-05-06,9.0,Colorado,Montrose
2020-05-07,9.0,Colorado,Montrose
2020-05-08,9.0,Colorado,Montrose
2020-05-09,9.0,Colorado,Montrose
2020-05-10,9.0,Colorado,Montrose
2020-05-11,9.0,Colorado,Montrose
2020-05-12,9.0,Colorado,Montrose
2020-05-13,9.0,Colorado,Montrose
2020-05-14,9.0,Colorado,Montrose
2020-05-15,9.0,Colorado,Montrose
2020-05-16,9.0,Colorado,Montrose
2020-05-03,9.178405905957106,Colorado,Pueblo
2020-05-04,9.178431604191644,Colorado,Pueblo
2020-05-05,9.178439242088814,Colorado,Pueblo
2020-05-06,9.178441512185316,Colorado,Pueblo
2020-05-07,9.178442186891687,Colorado,Pueblo
2020-05-08,9.178442387424468,Colorado,Pueblo
2020-05-09,9.178442447025759,Colorado,Pueblo
2020-05-10,9.178442464740215,Colorado,Pueblo
2020-05-11,9.178442470005166,Colorado,Pueblo
2020-05-12,9.178442471570008,Colorado,Pueblo
2020-05-13,9.178442472035101,Colorado,Pueblo
2020-05-14,9.178442472173288,Colorado,Pueblo
2020-05-15,9.178442472214442,Colorado,Pueblo
2020-05-16,9.178442472226607,Colorado,Pueblo
2020-05-03,91.59302064203662,Colorado,Weld
2020-05-04,93.29037008606267,Colorado,Weld
2020-05-05,94.93685809698961,Colorado,Weld
2020-05-06,96.53219431236481,Colorado,Weld
2020-05-07,98.07626630281963,Colorado,Weld
2020-05-08,99.56912910721498,Colorado,Weld
2020-05-09,101.0109942013269,Colorado,Weld
2020-05-10,102.40221807208016,Colorado,Weld
2020-05-11,103.74329055786032,Colorado,Weld
2020-05-12,105.03482310228964,Colorado,Weld
2020-05-13,106.2775370545473,Colorado,Weld
2020-05-14,107.47225213432242,Colorado,Weld
2020-05-15,108.61987516423102,Colorado,Weld
2020-05-16,109.72138915737327,Colorado,Weld
2020-05-03,912.198587877577,Connecticut,Fairfield
2020-05-04,929.2843588849369,Connecticut,Fairfield
2020-05-05,944.5127281021234,Connecticut,Fairfield
2020-05-06,958.0466618748092,Connecticut,Fairfield
2020-05-07,970.0440092272722,Connecticut,Fairfield
2020-05-08,980.6551671251311,Connecticut,Fairfield
2020-05-09,990.0215135549915,Connecticut,Fairfield
2020-05-10,998.2744696634345,Connecticut,Fairfield
2020-05-11,1005.5350606009526,Connecticut,Fairfield
2020-05-12,1011.9138586632084,Connecticut,Fairfield
2020-05-13,1017.5112087918401,Connecticut,Fairfield
2020-05-14,1022.4176533979953,Connecticut,Fairfield
2020-05-15,1026.7144894751718,Connecticut,Fairfield
2020-05-16,1030.4744053263291,Connecticut,Fairfield
2020-05-03,102.75000000000001,Connecticut,Litchfield
2020-05-04,106.50000000000001,Connecticut,Litchfield
2020-05-05,110.25000000000001,Connecticut,Litchfield
2020-05-06,114.00000000000003,Connecticut,Litchfield
2020-05-07,117.75000000000001,Connecticut,Litchfield
2020-05-08,121.50000000000001,Connecticut,Litchfield
2020-05-09,125.25000000000001,Connecticut,Litchfield
2020-05-10,129.0,Connecticut,Litchfield
2020-05-11,132.75,Connecticut,Litchfield
2020-05-12,136.50000000000003,Connecticut,Litchfield
2020-05-13,140.25000000000003,Connecticut,Litchfield
2020-05-14,144.00000000000003,Connecticut,Litchfield
2020-05-15,147.75,Connecticut,Litchfield
2020-05-16,151.5,Connecticut,Litchfield
2020-05-03,8.0,Florida,Citrus
2020-05-04,8.0,Florida,Citrus
2020-05-05,8.0,Florida,Citrus
2020-05-06,8.0,Florida,Citrus
2020-05-07,8.0,Florida,Citrus
2020-05-08,8.0,Florida,Citrus
2020-05-09,8.0,Florida,Citrus
2020-05-10,8.0,Florida,Citrus
2020-05-11,8.0,Florida,Citrus
2020-05-12,8.0,Florida,Citrus
2020-05-13,8.0,Florida,Citrus
2020-05-14,8.0,Florida,Citrus
2020-05-15,8.0,Florida,Citrus
2020-05-16,8.0,Florida,Citrus
2020-05-03,34.2,Florida,Duval
2020-05-04,35.2,Florida,Duval
2020-05-05,36.2,Florida,Duval
2020-05-06,37.2,Florida,Duval
2020-05-07,38.2,Florida,Duval
2020-05-08,39.2,Florida,Duval
2020-05-09,40.2,Florida,Duval
2020-05-10,41.2,Florida,Duval
2020-05-11,42.2,Florida,Duval
2020-05-12,43.2,Florida,Duval
2020-05-13,44.2,Florida,Duval
2020-05-14,45.2,Florida,Duval
2020-05-15,46.2,Florida,Duval
2020-05-16,47.2,Florida,Duval
2020-05-03,12.482484530744653,Florida,Escambia
2020-05-04,12.644320687780152,Florida,Escambia
2020-05-05,12.795577385342629,Florida,Escambia
2020-05-06,12.936560765145446,Florida,Escambia
2020-05-07,13.06763456858261,Florida,Escambia
2020-05-08,13.189207297720266,Florida,Escambia
2020-05-09,13.301720406563355,Florida,Escambia
2020-05-10,13.405637680716314,Florida,Escambia
2020-05-11,13.50143588678775,Florida,Escambia
2020-05-12,13.5895967098044,Florida,Escambia
2020-05-13,13.670599947627768,Florida,Escambia
2020-05-14,13.74491789507564,Florida,Escambia
2020-05-15,13.813010825697125,Florida,Escambia
2020-05-16,13.87532346417412,Florida,Escambia
2020-05-03,25.49762228897726,Florida,Hillsborough
2020-05-04,25.878938938809878,Florida,Hillsborough
2020-05-05,26.24988347021861,Florida,Hillsborough
2020-05-06,26.61037842403794,Florida,Hillsborough
2020-05-07,26.960378880676856,Florida,Hillsborough
2020-05-08,27.29987083036518,Florida,Hillsborough
2020-05-09,27.628869437287207,Florida,Hillsborough
2020-05-10,27.947417222864537,Florida,Hillsborough
2020-05-11,28.25558219217711,Florida,Hillsborough
2020-05-12,28.553455925981343,Florida,Hillsborough
2020-05-13,28.841151659057463,Florida,Hillsborough
